timestep,run,funding_pool,token_supply,collateral_pool,simulation,sentiment,substep,subset,token_price
25,1,1510531.8503297353,56583445.175441384,3693282.2236345448,0,0.9157117967814228,2,0,0.13054285444031324
26,1,1510984.6656959262,56722470.76418868,3711453.3166374713,0,0.9107117967814229,2,0,0.13086359838121406
27,1,1511349.1866435674,57041153.64831774,3753274.4579998674,0,0.9057117967814229,2,0,0.13159882709036194
28,1,1502751.5008950806,57357129.35771467,3794971.661209806,0,0.9043726974756521,2,0,0.13232781011553094
29,1,1483042.8510930478,57644790.784992084,3833132.722562994,0,0.9020999702029248,2,0,0.13299146966670772
30,1,1483784.4227521624,57893108.45327602,3866227.983582836,0,0.8970999702029249,2,0,0.13356435979605985
31,1,1484221.2158201006,58321990.317676194,3923723.4974973206,0,0.9184395334780291,2,0,0.13455382699133028
32,1,1397970.4900062175,58542199.19404562,3953409.3820904144,0,0.9257122607507562,2,0,0.1350618677301935
33,1,1398653.2130295488,58774991.79358296,3984913.298625448,0,0.8640004481565939,2,0,0.13559894019621183
34,1,1399309.858156827,58857436.673336945,3996100.5777577646,0,0.8419990813130593,2,0,0.13578914759527885
